county,fips,date,wrf_pm,wrf_nf_pm,wrf_smk_pm,geo_wt_pm,global_reg_pm,krig_pm,background_pm,geo_smk_pm,global_smk_pm,krig_smk_pm,wrf_temp,wrf_pbl
Whitman,075,2012-07-17,14.7893254146026,12.1809502263957,2.63198522905206,6.35020207198722,7.15008392664384,6.52533580549994,6.83957592036849,0.0149490782746174,0.326381646631228,0.0374348686711449,293.847365426748,1589.32860855379
Whitman,075,2012-07-18,7.75863289867368,16.1758443943011,0,7.70924884476229,8.00708818151113,7.9902704517277,6.83957592036849,0.876380121435086,1.17104302799655,1.15385060458781,294.531721786039,1490.22644718284
Whitman,075,2012-07-19,22.8521960433914,14.8487512387206,8.00344480467088,9.20270341680614,10.7626707105074,9.36400786669105,6.83957592036849,2.36312749643765,3.92309479013888,2.52443194632257,297.371084188791,1819.0753786785
Whitman,075,2012-07-20,16.3417673321822,13.2838435407657,3.05792379141651,6.1280173783841,7.16357586236828,6.25833261083087,6.83957592036849,0.0044661601926206,0.332163847585807,0.0154591807553925,294.19714376772,1372.17267205166
Whitman,075,2012-07-21,13.4990997128042,11.8004273342229,1.69867237858133,4.6133488698612,5.39366389051209,4.71607623802152,6.83957592036849,0,0,0,294.798986446044,1302.48069571465
Whitman,075,2012-07-22,11.7559971323825,11.2813084467203,0.492717823584478,5.6409422127263,6.23373060278838,5.8122764712133,6.83957592036849,5.58719144249044e-05,0.00219480571018765,0.0007627017064772,294.45155459174,1124.03184255569
Whitman,075,2012-07-23,11.6441619414443,10.4506862719352,1.22830665017242,2.95431810183308,3.68257404324852,2.99723627916558,6.83957592036849,0,0,0,295.03174736608,1137.47518326592
Whitman,075,2012-07-24,18.9931251624682,9.12939627486909,9.86372888759912,3.74309841051908,4.90170637564685,3.77564992765174,6.83957592036849,0,0,0,298.36668021228,1130.1623526786
Whitman,075,2012-07-25,20.0109201482398,9.12220947524625,10.8887106729935,6.12660611946583,7.27333931688701,6.25468164198202,6.83957592036849,0.00129463420391903,0.446654557255013,0.00294995485524809,299.967218322899,1379.04481395586
Whitman,075,2012-07-26,15.1617339436924,10.449158391041,4.71302971653035,7.60297466594595,8.41709532672294,7.82047438734871,6.83957592036849,0.769235598660485,1.57754673111921,0.981996231312531,299.762077200033,1351.21206223147
