WRFGRID_ID,Longitude,Latitude,
 296,-123.400, 48.84829,      NaN
 297,-123.422, 48.98701,      NaN
 298,-122.681, 45.38850,  703.086
 299,-122.700, 45.52758, 2316.164
 300,-122.720, 45.66666,  700.218
 301,-122.739, 45.80573,  133.803
 302,-122.758, 45.94479,   30.517
 303,-122.778, 46.08385,   33.770
 304,-122.797, 46.22290,   13.276
 305,-122.817, 46.36195,   27.423
 306,-122.837, 46.50099,   33.032
 307,-122.857, 46.64002,   17.579
 308,-122.877, 46.77905,   25.108
 309,-122.897, 46.91806,   35.896
 310,-122.917, 47.05706,  848.418
 311,-122.937, 47.19605,   72.613
 312,-122.958, 47.33503,   42.035
 313,-122.978, 47.47399,   24.960
 314,-122.999, 47.61294,   10.992
 315,-123.020, 47.75188,    2.310
 316,-123.040, 47.89080,    6.055
 317,-123.061, 48.02970,    9.898
 318,-123.082, 48.16859,      NaN
 319,-123.103, 48.30745,      NaN
 320,-123.125, 48.44630,      NaN
 321,-123.146, 48.58513,   34.514
 322,-123.168, 48.72393,      NaN
 323,-123.189, 48.86272,      NaN
 324,-123.211, 49.00148,      NaN
 325,-122.483, 45.40172,  128.131
 326,-122.502, 45.54082, 2461.358
 327,-122.521, 45.67993,  868.696
 328,-122.539, 45.81903,  230.446
 329,-122.558, 45.95813,   41.872
 330,-122.577, 46.09722,    4.959
 331,-122.596, 46.23630,    1.586
 332,-122.616, 46.37539,    1.576
 333,-122.635, 46.51447,    9.772
 334,-122.654, 46.65353,    3.839
 335,-122.674, 46.79258,   19.185
 336,-122.693, 46.93164,   54.382
 337,-122.713, 47.07067,  190.085
 338,-122.733, 47.20970,   84.082
 339,-122.753, 47.34871,   77.784
 340,-122.773, 47.48771,   92.770
 341,-122.793, 47.62669,   90.202
 342,-122.813, 47.76566,    2.616
 343,-122.833, 47.90462,   19.188
 344,-122.854, 48.04355,   39.210
 345,-122.874, 48.18247,      NaN
 346,-122.895, 48.32137,      NaN
 347,-122.915, 48.46025,   33.953
 348,-122.936, 48.59911,   24.734
 349,-122.957, 48.73795,   31.582
 350,-122.978, 48.87677,      NaN
 351,-122.999, 49.01556,      NaN
 352,-122.285, 45.41459,  266.206
 353,-122.303, 45.55372,   25.503
 354,-122.321, 45.69286,   49.237
 355,-122.340, 45.83200,   34.476
 356,-122.358, 45.97112,   18.896
 357,-122.377, 46.11025,   15.559
 358,-122.395, 46.24937,    1.541
 359,-122.414, 46.38848,    2.775
 360,-122.433, 46.52759,    6.952
 361,-122.452, 46.66669,    5.345
