Longitude,Latitude,YearDay
-119.411,48.036,2012254
-120.244,47.787,2012254
-120.275,47.793,2012254
-120.403,47.41,2012254
-120.472,47.391,2012254
-121.509,46.125,2012254
-121.537,46.121,2012254
-118.532,47.496,2012254
-118.549,47.565,2012254
-118.552,47.575,2012254
-118.554,47.584,2012254
-118.557,47.594,2012254
-118.566,47.573,2012254
-118.569,47.583,2012254
-118.571,47.592,2012254
-118.576,47.552,2012254
-118.578,47.561,2012254
-118.581,47.571,2012254
-118.583,47.581,2012254
-118.586,47.591,2012254
-118.583,47.52,2012254
-118.588,47.54,2012254
-118.59,47.55,2012254
-118.593,47.56,2012254
-118.595,47.569,2012254
-118.598,47.579,2012254
-118.6,47.589,2012254
-118.602,47.538,2012254
-118.605,47.548,2012254
-118.607,47.558,2012254
-118.612,47.577,2012254
-118.615,47.587,2012254
-118.617,47.537,2012254
-118.619,47.546,2012254
-118.624,47.566,2012254
-118.627,47.576,2012254
-118.626,47.515,2012254
-118.631,47.535,2012254
-118.634,47.545,2012254
-118.636,47.554,2012254
-118.641,47.574,2012254
-118.644,47.584,2012254
-118.648,47.543,2012254
-118.656,47.572,2012254
-118.66,47.531,2012254
-118.663,47.541,2012254
-118.668,47.561,2012254
-118.67,47.571,2012254
-118.674,47.53,2012254
-118.677,47.539,2012254
-118.68,47.549,2012254
-118.682,47.559,2012254
-118.684,47.508,2012254
-118.692,47.538,2012254
-118.694,47.547,2012254
-118.698,47.507,2012254
-118.701,47.516,2012254
-118.703,47.526,2012254
-118.706,47.536,2012254
-118.927,48.368,2012254
-118.93,48.378,2012254
-118.715,47.515,2012254
-118.718,47.524,2012254
-118.72,47.534,2012254
-118.723,47.544,2012254
-118.945,48.376,2012254
-118.73,47.513,2012254
-118.732,47.523,2012254
-118.744,47.511,2012254
-118.932,47.882,2012254
-118.961,47.99,2012254
-118.997,47.955,2012254
-119.014,47.964,2012254
-119.044,47.96,2012254
-119.051,47.989,2012254
-119.057,48.009,2012254
-119.102,48.064,2012254
-119.127,48.101,2012254
-119.123,48.031,2012254
-119.134,48.07,2012254
-119.147,48.119,2012254
-119.116,47.951,2012254
-119.138,48.029,2012254
-119.146,48.059,2012254
-119.151,48.078,2012254
-119.128,47.939,2012254
-119.131,47.949,2012254
-119.15,48.018,2012254
-119.152,48.028,2012254
-119.155,48.037,2012254
-119.158,48.047,2012254
-119.16,48.057,2012254
-119.163,48.067,2012254
-119.166,48.076,2012254
-119.145,47.947,2012254
-119.164,48.016,2012254
-119.17,48.036,2012254
-119.172,48.045,2012254
-119.175,48.055,2012254
-119.178,48.065,2012254
-119.18,48.075,2012254
-119.183,48.084,2012254
-119.186,48.094,2012254
-119.184,48.034,2012254
-119.187,48.043,2012254
-119.189,48.053,2012254
-119.192,48.063,2012254
-119.195,48.073,2012254
-119.197,48.083,2012254
-119.2,48.092,2012254
-119.206,48.112,2012254
-119.193,48.012,2012254
-119.199,48.032,2012254
-119.201,48.042,2012254
-119.204,48.051,2012254
-119.207,48.061,2012254
-119.209,48.071,2012254
-119.212,48.081,2012254
-119.215,48.091,2012254
-119.2,47.981,2012254
-119.208,48.011,2012254
-119.211,48.02,2012254
-119.213,48.03,2012254
-119.219,48.05,2012254
-119.221,48.059,2012254
-119.224,48.069,2012254
-119.227,48.079,2012254
-119.229,48.089,2012254
-119.232,48.099,2012254
-119.222,48.009,2012254
-119.225,48.019,2012254
-119.228,48.028,2012254
-119.236,48.058,2012254
-119.239,48.067,2012254
-119.241,48.077,2012254
-119.244,48.087,2012254
-119.247,48.097,2012254
-119.24,48.017,2012254
-119.25,48.056,2012254
-119.253,48.066,2012254
-119.256,48.075,2012254
-119.259,48.085,2012254
-119.261,48.095,2012254
-119.264,48.105,2012254
-119.249,47.995,2012254
-119.252,48.005,2012254
-119.254,48.015,2012254
-119.265,48.054,2012254
-119.268,48.064,2012254
-119.276,48.093,2012254
-119.279,48.103,2012254
-119.258,47.974,2012254
-119.269,48.013,2012254
-119.272,48.023,2012254
-119.277,48.042,2012254
-119.28,48.052,2012254
-119.285,48.072,2012254
-119.288,48.082,2012254
-119.29,48.091,2012254
-119.293,48.101,2012254
-119.296,48.111,2012254
-119.283,48.011,2012254
-119.286,48.021,2012254
-119.294,48.05,2012254
-119.297,48.06,2012254
-119.302,48.08,2012254
-119.305,48.09,2012254
-119.308,48.099,2012254
-119.295,48,2012254
-119.298,48.01,2012254
-119.301,48.019,2012254
-119.309,48.049,2012254
-119.317,48.078,2012254
-119.32,48.088,2012254
-119.322,48.098,2012254
-119.31,47.998,2012254
-119.313,48.008,2012254
-119.318,48.027,2012254
-119.329,48.066,2012254
-119.332,48.076,2012254
-119.337,48.096,2012254
-119.324,47.996,2012254
-119.327,48.006,2012254
-119.339,47.994,2012254
-119.342,48.004,2012254
-119.355,48.053,2012254
-119.363,48.082,2012254
-119.354,47.992,2012254
-119.356,48.002,2012254
-119.359,48.012,2012254
-119.362,48.022,2012254
-119.367,48.041,2012254
-119.373,48.061,2012254
-119.374,48.01,2012254
-119.376,48.02,2012254
-119.379,48.03,2012254
-119.382,48.04,2012254
-119.387,48.059,2012254
-119.39,48.069,2012254
-119.385,47.999,2012254
-119.388,48.008,2012254
-119.391,48.018,2012254
-119.394,48.028,2012254
-119.396,48.038,2012254
-119.399,48.048,2012254
-119.403,48.007,2012254
-119.414,48.046,2012254
-119.44,48.032,2012254
-119.859,48.019,2012254
-119.97,48.248,2012254
-119.979,48.227,2012254
-119.993,48.276,2012254
-119.991,48.215,2012254
-119.994,48.225,2012254
-120.002,48.254,2012254
-120.008,48.274,2012254
-120.009,48.223,2012254
-120.011,48.233,2012254
-120.014,48.242,2012254
-120.023,48.221,2012254
-120.026,48.231,2012254
-120.029,48.241,2012254
-120.041,48.229,2012254
-120.047,48.096,2012254
-120.096,48.262,2012254
-120.137,48.196,2012254
-120.149,48.184,2012254
-120.158,48.163,2012254
-120.161,48.173,2012254
-120.163,48.182,2012254
-120.169,48.202,2012254
-120.175,48.171,2012254
-120.19,48.169,2012254
-120.139,47.79,2012254
-120.142,47.8,2012254
-120.148,47.769,2012254
-120.154,47.788,2012254
-120.157,47.798,2012254
-120.163,47.767,2012254
-120.165,47.777,2012254
-120.171,47.796,2012254
-120.177,47.765,2012254
-120.183,47.785,2012254
-120.186,47.794,2012254
-120.18,47.724,2012254
-120.183,47.734,2012254
-120.192,47.763,2012254
-120.197,47.783,2012254
-120.2,47.792,2012254
-120.212,47.781,2012254
-120.215,47.79,2012254
-120.217,47.8,2012254
-120.22,47.759,2012254
-120.226,47.779,2012254
-120.229,47.789,2012254
-120.261,47.896,2012254
-120.226,47.728,2012254
-120.229,47.738,2012254
-120.232,47.748,2012254
-120.272,47.884,2012254
-120.275,47.894,2012254
-120.249,47.755,2012254
-120.252,47.765,2012254
-120.255,47.775,2012254
-120.258,47.785,2012254
-120.261,47.794,2012254
-120.264,47.804,2012254
-120.287,47.882,2012254
-120.29,47.892,2012254
-120.292,47.902,2012254
-120.255,47.724,2012254
-120.261,47.744,2012254
-120.264,47.753,2012254
-120.267,47.763,2012254
-120.278,47.802,2012254
-120.304,47.89,2012254
-120.27,47.722,2012254
-120.273,47.732,2012254
-120.276,47.742,2012254
-120.281,47.761,2012254
-120.284,47.771,2012254
-120.287,47.781,2012254
-120.29,47.791,2012254
-120.284,47.72,2012254
-120.287,47.73,2012254
-120.29,47.74,2012254
-120.293,47.75,2012254
-120.296,47.759,2012254
-120.301,47.779,2012254
-120.304,47.789,2012254
-120.299,47.718,2012254
-120.304,47.738,2012254
-120.307,47.748,2012254
-120.31,47.757,2012254
-120.316,47.726,2012254
-120.322,47.746,2012254
-120.325,47.756,2012254
-120.446,48.013,2012254
-120.366,47.436,2012254
-120.389,47.412,2012254
-120.394,47.432,2012254
-120.397,47.441,2012254
-120.577,48.046,2012254
-120.406,47.42,2012254
-120.409,47.43,2012254
-120.412,47.44,2012254
-120.414,47.449,2012254
-120.592,48.044,2012254
-120.595,48.054,2012254
-120.417,47.408,2012254
-120.42,47.418,2012254
-120.423,47.428,2012254
-120.426,47.438,2012254
-120.429,47.447,2012254
-120.609,48.052,2012254
-120.435,47.416,2012254
-120.437,47.426,2012254
-120.44,47.436,2012254
-120.446,47.455,2012254
-120.435,47.365,2012254
-120.446,47.404,2012254
-120.449,47.414,2012254
-120.452,47.424,2012254
-120.455,47.434,2012254
-120.458,47.443,2012254
-120.446,47.354,2012254
-120.452,47.373,2012254
-120.455,47.383,2012254
-120.469,47.432,2012254
-120.46,47.352,2012254
-120.481,47.42,2012254
-120.478,47.36,2012254
-120.504,47.447,2012254
-120.492,47.358,2012254
-120.518,47.445,2012254
-120.524,47.465,2012254
-120.506,47.356,2012254
-120.532,47.443,2012254
-120.535,47.453,2012254
-120.538,47.463,2012254
-120.524,47.363,2012254
-120.526,47.373,2012254
-120.55,47.451,2012254
-120.552,47.461,2012254
-120.555,47.471,2012254
-120.538,47.361,2012254
-120.541,47.371,2012254
-120.567,47.459,2012254
-120.68,47.687,2012254
-121.402,48.927,2012254
-121.033,46.683,2012254
-121.044,46.671,2012254
-121.05,46.691,2012254
-121.064,46.689,2012254
-121.078,46.687,2012254
-121.503,46.106,2012254
